"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"Spinifex_Total",-1986.74127925572,4,3981.48255850999,3982.00887429946,0.558117734222266,0.834875440692487,-1986.74127925499
"Distance",-2003.87305821644,2,4011.74611643289,4011.89996258673,0.505272527560924,0.787163405427753,-2003.87305821644
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
