"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"EucDistWater_Total",-1954.39772831831,4,3916.79545663662,3917.32177242609,0.539845282469862,0.843599244258091,-1954.39772831831
"Silt_Total",-1973.85501352921,4,3955.71002705842,3956.2363428479,0.549217091496328,0.8176624760755,-1973.85501352921
"Spinifex_Total",-1986.07138355321,4,3980.14276710643,3980.6690828959,0.560980788723758,0.838441719244431,-1986.07138355321
"FireFreq_2000_2008_Total",-1993.57201852238,4,3995.14403704475,3995.67035283423,0.528441126052169,0.816511473485958,-1993.57201852238
"WeatheringIndex_Total",-1997.01341255908,4,4002.02682511802,4002.55314090749,0.545335462843979,0.817832247301185,-1997.01341255901
"PersistForestCover_Total",-1997.22552751441,4,4002.45105502882,4002.9773708183,0.527770437439554,0.8226265326497,-1997.22552751441
"Distance",-2003.87305821644,2,4011.74611643289,4011.89996258673,0.505272527560924,0.787163405427753,-2003.87305821644
"VRM_Total",-2003.87305821644,4,4015.74611643289,4016.27243222236,0.505272527560924,0.787163405427753,-2003.87305821644
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
