"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"Silt_Total",-1973.70457744856,4,3955.40915489716,3955.93547068663,0.545080311811793,0.813696272561974,-1973.70457744858
"Distance",-2003.87305821644,2,4011.74611643289,4011.89996258673,0.505272527560924,0.787163405427753,-2003.87305821644
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
