"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"VRM_Total",-1978.29127977429,4,3964.58255955164,3965.10887534111,0.549712837269496,0.810194367290357,-1978.29127977582
"Distance",-2003.87305821644,2,4011.74611643289,4011.89996258673,0.505272527560924,0.787163405427753,-2003.87305821644
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
