"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",118.22,-21.82698,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",21,7,2014,"NatureMap","Hooley Station","DPaW - NQP","Remote camera",NA,NA,NA,"certain","Record_2868"
"Dasyurus hallucatus",116.173,-22.04548,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",2,5,2014,"NatureMap","Red hill Station","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2870"
"Dasyurus hallucatus",117.881811,-21.571336,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",1,5,2014,"NatureMap","Balla balla rail","Ryan Ellis","Remote camera ",NA,NA,NA,"Certain","Record_2871"
"Dasyurus hallucatus",117.95448,-21.17028,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",20,10,2012,"NatureMap","Mallina Station","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2874"
"Dasyurus hallucatus",117.23891,-21.32982,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",8,12,2011,"NatureMap","Millstream - Python Pool","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2876"
"Dasyurus hallucatus",117.24076,-21.33257,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",1,12,2011,"NatureMap","Millstream - Python Pool","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2877"
"Dasyurus hallucatus",118.92462,-21.44469,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",1,6,2011,"NatureMap","BHP - quarry 3 undisturbed","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2879"
"Dasyurus hallucatus",116.21612,-22.14653,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",24,8,2015,"NatureMap","9.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2880"
"Dasyurus hallucatus",118.588766,-20.880768,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",12,10,2015,"NatureMap","Indee station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2881"
"Dasyurus hallucatus",116.156683,-21.783379,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",24,8,2015,"NatureMap","32.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2882"
"Dasyurus hallucatus",116.156688,-21.33645,NA,NA,10,"PILBTFAUNA","GDA94",24,4,2016,"NatureMap","Mardie Station","Jo Kuiper","Remote camera",NA,NA,NA,"Certain","Record_2883"
"Dasyurus hallucatus",116.8734,-20.43511,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",15,6,2015,"NatureMap","Dolphin Island","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2885"
"Dasyurus hallucatus",117.60827,-20.94925,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",2,5,2012,"NatureMap","Sherlock River","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2891"
"Dasyurus hallucatus",118.585492,-20.880682,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",25,8,2014,"NatureMap","Indee Station - Red Rock","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2904"
"Dasyurus hallucatus",116.833229,-20.487641,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",20,6,2014,"NatureMap","Dolphin Island","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2909"
"Dasyurus hallucatus",116.833306,-20.487537,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",10,10,2015,"NatureMap","Dolphin Island","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2910"
"Dasyurus hallucatus",118.585264,-20.87987,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",1,7,2015,"NatureMap","Indee Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2912"
"Dasyurus hallucatus",116.21671,-22.14595,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",24,8,2015,"NatureMap","9.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2913"
"Dasyurus hallucatus",118.59044,-20.882395,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",12,10,2015,"NatureMap","Indee station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2915"
"Dasyurus hallucatus",117.9215,-21.78094,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",26,8,2015,"NatureMap","Mt Florance Station","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2918"
"Dasyurus hallucatus",116.2528,-22.08807,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",4,8,2015,"NatureMap","5.0","Hannah Anderson","Cage/Elliot/Unspecified Trap",NA,NA,NA,"Certain","Record_2921"
"Dasyurus hallucatus",118.9295,-20.45697,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",21,7,2015,"NatureMap","Poondano","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2923"
"Dasyurus hallucatus",117.952162,-21.180428,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",12,9,2014,"NatureMap","Mallina Station","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2925"
"Dasyurus hallucatus",116.8247,-20.51641,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",13,6,2015,"NatureMap","Dolphin Island","DPaW - NQP","Remote camera",NA,NA,NA,"Certain","Record_2926"
"Dasyurus hallucatus",117.914362,-21.466821,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",1,5,2014,"NatureMap","Balla balla rail","Ryan Ellis","Remote camera ",NA,NA,NA,"Certain","Record_2931"
"Dasyurus hallucatus",118.69592,-20.95743,"Cage/Elliot/Unspecified Trap",NA,10,"PILBTFAUNA","GDA94",2,5,2013,"NatureMap","BHP - quarry 2 undisturbed","DPaW - NQP","Cage/Elliot/Unspecified Trap",NA,NA,NA,"certain","Record_2932"
"Dasyurus hallucatus",117.80778,-21.11791,"Camera Trap or Video",NA,10,"PILBTFAUNA","GDA94",20,10,2012,"NatureMap","Mallina Station","DPaW - NQP","remote camera",NA,NA,NA,"certain","Record_2933"
