"Species","Long","Lat","BasisOfRecord","WAM.ID","Accuracy.m","DataProvider","Datum","Day","Month","Year","Database","SiteName","Collector","MethodOfCapture","ApproximateLocation","ReturnID","LicenceNo","Certainty","RecordID"
"Dasyurus hallucatus",118.58784,-20.875337,NA," ",100,"FAUNASURVEY","GDA94",15,7,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2028"
"Dasyurus hallucatus",118.587883,-20.875037,NA," ",100,"FAUNASURVEY","GDA94",25,6,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2029"
"Dasyurus hallucatus",118.588036,-20.87523,NA," ",100,"FAUNASURVEY","GDA94",16,5,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2030"
"Dasyurus hallucatus",118.586647,-20.876394,NA," ",100,"FAUNASURVEY","GDA94",17,7,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2031"
"Dasyurus hallucatus",119.058239,-22.539857,NA,"",100,"FAUNASURVEY","GDA94",8,5,2014,"NatureMap","KSM-E1","BIOTA - MICHAEL GREENHAM AND CHRIS COLE",NA,"Koodaideri Springs","SF009809-201501","SF009809","Certain","Record_2032"
"Dasyurus hallucatus",116.500691,-22.006656,NA,"S20141102BUHBAT81-2-1",100,"FAUNASURVEY","GDA94",2,11,2014,"NatureMap","BUHOpp - Scat","WAM - RIC HOW",NA,"Buckland Hills","SF010087-201501","SF010087","WAM Vouchered","Record_2033"
"Dasyurus hallucatus",118.82434,-20.504962,NA,"",100,"FAUNASURVEY","GDA94",25,7,2015,"NatureMap","Southern Granites","JESSICA OATES",NA,"Poondano","SF009960-201507","SF009960","Certain","Record_2034"
"Dasyurus hallucatus",119.107123,-21.164929,NA,"",100,"FAUNASURVEY","GDA94",15,7,2015,"NatureMap","Abydos Mine Site","MWH AUSTRALIA",NA,"Pilbara","SF010369-2015","SF010369","Certain","Record_2035"
"Dasyurus hallucatus",118.658139,-21.150525,NA,"",100,"FAUNASURVEY","GDA94",15,5,2014,"NatureMap","Wodgina Mine Site","MWH AUSTRALIA",NA,"Pilbara","SF009823-201408","SF009823","Certain","Record_2036"
"Dasyurus hallucatus",118.653864,-21.193824,NA,"",100,"FAUNASURVEY","GDA94",15,5,2014,"NatureMap","Wodgina Mine Site","MWH AUSTRALIA",NA,"Pilbara","SF009823-201408","SF009823","Certain","Record_2037"
"Dasyurus hallucatus",118.658033,-21.187668,NA,"",3000,"FAUNASURVEY","GDA94",18,5,2014,"NatureMap","Wodgina Mine Site","MWH AUSTRALIA",NA,"Pilbara","SF009823-201408","SF009823","Certain","Record_2038"
"Dasyurus hallucatus",118.586234,-20.879088,NA," ",100,"FAUNASURVEY","GDA94",17,5,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2039"
"Dasyurus hallucatus",118.586234,-20.879088,NA," ",100,"FAUNASURVEY","GDA94",16,7,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2040"
"Dasyurus hallucatus",116.567015,-21.747643,NA,"",100,"FAUNASURVEY","GDA94",24,8,2015,"NatureMap","Middle Robe","ASTRON",NA,"PANNAWANNICA","SF010323-201510","SF010323","Certain","Record_2041"
"Dasyurus hallucatus",116.490297,-21.687462,NA,"",100,"FAUNASURVEY","GDA94",22,8,2015,"NatureMap","Middle Robe","ASTRON",NA,"PANNAWANNICA","SF010323-201510","SF010323","Certain","Record_2042"
"Dasyurus hallucatus",118.586456,-20.876613,NA," ",100,"FAUNASURVEY","GDA94",27,6,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2043"
"Dasyurus hallucatus",118.586491,-20.877524,NA," ",100,"FAUNASURVEY","GDA94",2,5,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2044"
"Dasyurus hallucatus",118.586491,-20.877524,NA," ",100,"FAUNASURVEY","GDA94",27,9,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2045"
"Dasyurus hallucatus",116.480832,-21.722921,NA,"",100,"FAUNASURVEY","GDA94",18,8,2015,"NatureMap","Middle Robe","ASTRON",NA,"PANNAWANNICA","SF010323-201510","SF010323","Certain","Record_2046"
"Dasyurus hallucatus",116.266077,-21.730447,NA,"",100,"FAUNASURVEY","GDA94",8,6,2015,"NatureMap","Middle Robe","ASTRON",NA,"PANNAWANNICA","SF010323-201510","SF010323","Certain","Record_2047"
"Dasyurus hallucatus",119.079625,-21.245311,NA,"",100,"FAUNASURVEY","GDA94",25,8,2014,"NatureMap","North Star Mine","ECOLOGIA ENVIRONMENT",NA,"North Star","SF009735-201501","SF009735","Certain","Record_2048"
"Dasyurus hallucatus",119.079856,-21.24529,NA,"",100,"FAUNASURVEY","GDA94",29,8,2014,"NatureMap","North Star Mine","ECOLOGIA ENVIRONMENT",NA,"North Star","SF009735-201501","SF009735","Certain","Record_2049"
"Dasyurus hallucatus",119.053734,-21.271926,NA,"",100,"FAUNASURVEY","GDA94",27,8,2014,"NatureMap","North Star Mine","ECOLOGIA ENVIRONMENT",NA,"North Star","SF009735-201501","SF009735","Certain","Record_2050"
"Dasyurus hallucatus",116.403645,-21.673368,NA,"",100,"FAUNASURVEY","GDA94",23,8,2015,"NatureMap","Middle Robe","ASTRON",NA,"PANNAWANNICA","SF010323-201510","SF010323","Certain","Record_2051"
"Dasyurus hallucatus",118.844903,-20.447974,NA,"",3000,"FAUNASURVEY","GDA94",13,5,2014,"NatureMap","Southern Granites","BRENT JOHNSON",NA,"Poondano","SF009680-201408","SF009680","Certain","Record_2052"
"Dasyurus hallucatus",118.84458,-20.436967,NA,"",3000,"FAUNASURVEY","GDA94",13,5,2014,"NatureMap","Granite Outcrop","BRENT JOHNSON",NA,"Poondano","SF009680-201408","SF009680","Certain","Record_2053"
"Dasyurus hallucatus",118.588166,-20.875267,NA," ",100,"FAUNASURVEY","GDA94",3,5,2014,"NatureMap","Red Rock","LORNA HERNANDEZ SANTIN",NA,"Indee Station","SF009747-201502","SF009747","Certain","Record_2054"
"Dasyurus hallucatus",118.83364,-20.455535,NA,"",100,"FAUNASURVEY","GDA94",20,7,2015,"NatureMap","Poondano Central","JESSICA OATES",NA,"Poondano","SF009960-201507","SF009960","Certain","Record_2055"
"Dasyurus hallucatus",119.064119,-22.555467,NA,"",100,"FAUNASURVEY","GDA94",11,8,2010,"NatureMap","KDD06","PHILLIP RUNHAM",NA,"Koodaideri","SF007562-201107","SF007562","Certain","Record_2056"
"Dasyurus hallucatus",118.652386,-21.194236,NA,"715B7F6",100,"FAUNASURVEY","GDA94",13,6,2012,"NatureMap","Wodgina","OUTBACK ECOLOGY",NA,"Pilbara","SF008681-201206","SF008681","Don't know","Record_2057"
"Dasyurus hallucatus",120.007252,-21.974967,NA,"",100,"FAUNASURVEY","GDA94",15,4,2015,"NatureMap","Warrigale","MIKE BAMFORD",NA,"Nullagine","SF009967-201511","SF009967","Certain","Record_2058"
"Dasyurus hallucatus",118.817646,-20.456002,NA,"",100,"FAUNASURVEY","GDA94",28,7,2009,"NatureMap","","SONJA CREESE (OUTBACK ECOLOGY)",NA,"Poondano","SF007127-201002","SF007127","Certain","Record_2059"
