"fc","reg","iter","train_AUC","test_AUC","diff_AUC"
"lh",0.8,700,0.893916964769401,0.852833151761756,0.0410838130076451
"lh",0.8,700,0.893916964769401,0.852833151761756,0.0410838130076451
"lh",0.8,700,0.893916964769401,0.852833151761756,0.0410838130076451
"lh",0.8,300,0.893069754445084,0.850398366148944,0.0426713882961391
"lp",0.8,700,0.840287710906649,0.807320210418402,0.0329675004882461
