id,pop,lat,lon,Sex,Year,IBRA_SubRegion,Original_id
Dh_16.207,Nimingarra,-20.39181,120.03847,M,2013,McLarty,16-207
Dh_16.210,Indee Quarry 2,-20.87584,118.58217,F,2013,Chichester,16-210
Dh_16.214,Indee Quarry 2,-20.87474,118.58824,F,2013,Chichester,16-214
Dh_16.216,Indee Quarry 2,-20.87947,118.58806,M,2013,Chichester,16-216
Dh_16.217,Indee Quarry 2,-20.87712,118.58369,F,2013,Chichester,16-217
Dh_16.218,Indee Quarry 2,-20.87906,118.58483,M,2013,Chichester,16-218
Dh_16.224,Indee Quarry 2,-20.82162,118.61372,M,2013,Chichester,16-224
Dh_16.229,Pannawonica Red Hill,-22.013848,116.533176,M,2014,Hamersley,16-229
Dh_16.230,Pannawonica Yarraloola,-21.79902,116.159946,M,2014,Hamersley,16-230
Dh_16.231,Pannawonica Yarraloola,-21.786242,116.134639,NA,2014,Hamersley,16-231
Dh_16.233,Pannawonica Yarraloola,-21.797111,116.159415,M,2014,Hamersley,16-233
Dh_16.236,Pannawonica Yarraloola,-21.797203,116.159628,F,2014,Hamersley,16-236
Dh_16.239,Coolawanyah Station North,-21.478777,117.914488,M,2014,Chichester,16-239
Dh_16.241,Coolawanyah Station North,-21.481725,117.914938,F,2014,Chichester,16-241
Dh_16.242,Coolawanyah Station North,-21.482287,117.915391,M,2014,Chichester,16-242
Dh_16.244,Coolawanyah Station North,-21.480503,117.914438,M,2014,Chichester,16-244
Dh_16.251,Coolawanyah Station South,-21.69021,117.863437,F,2014,Chichester,16-251
Dh_16.252,Coolawanyah Station South,-21.688486,117.869225,F,2014,Chichester,16-252
Dh_16.253,Coolawanyah Station South,-21.688592,117.868643,M,2014,Chichester,16-253
Dh_16.255,Coolawanyah Station South,-21.690379,117.868146,M,2014,Chichester,16-255
Dh_16.256,Coolawanyah Station South,-21.694179,117.85919,M,2014,Chichester,16-256
Dh_16.257,Pannawonica Red Hill,-22.011,116.532,M,2012,Hamersley,16-257
Dh_16.260,Pannawonica Red Hill,-22.01012,116.48648,M,2012,Hamersley,16-260
Dh_16.261,Pannawonica Red Hill,-22.052558,116.553632,M,2012,Hamersley,16-261
Dh_16.262,Pannawonica Red Hill,-22.052558,116.553632,M,2012,Hamersley,16-262
Dh_16.263,Pannawonica Red Hill,-22.039309,116.553333,F,2012,Hamersley,16-263
Dh_16.270,Cane River CP,-21.98904304,115.56981,F,2014,Hamersley,16-270
Dh_16.271,Mallina Station,-21.17950399,117.953448,F,2014,Chichester,16-271
Dh_16.275,Mallina Station,-21.17942898,117.951607,M,2014,Chichester,16-275
Dh_16.281,McPhee Creek Mine,-21.615736,120.076817,F,2014,Chichester,16-281
Dh_16.285,Millstream Python,-21.33392103,117.240584,F,2014,Chichester,16-285
Dh_16.286,Millstream Python,-21.33058185,117.2393083,M,2014,Chichester,16-286
Dh_16.287,Millstream Python,-21.33392103,117.240584,M,2014,Chichester,16-287
Dh_16.311,Dolphin Island,-20.48865203,116.831265,M,2014,Roebourne,16-311
Dh_16.352,Quarry Site 1a,-20.50552,118.628566,F,2012,Chichester,16-352
Dh_16.353,Quarry Site 1a,-20.5296,118.649695,M,2012,Chichester,16-353
Dh_16.354,Quarry Site 1a,-20.5296,118.649695,F,2012,Chichester,16-354
Dh_16.355,Quarry Site 1a,-20.5296,118.649695,M,2012,Chichester,16-355
Dh_16.356,Quarry Site 1a,-20.5296,118.649695,F,2012,Chichester,16-356
Dh_16.407,Millstream Chichester NP,-21.5833,117.0833,NA,1987,Chichester,16-407
Dh_16.421,Quarry Site 1a,-20.5291,118.6494,NA,2009,Chichester,16-421
Dh_16.426,Quarry Site 1b,-21.3994,118.9042,NA,2009,Chichester,16-426
Dh_16.435,Quarry Site 2a,-20.96974,118.75231,NA,2013,Chichester,16-435
Dh_16.440,Karratha Chichester,-20.7272,116.98541,NA,2013,Chichester,16-440
Dh_16.441,De grey Station,-20.3388,119.1238,NA,2012,Roebourne,16-441
Dh_16.443,Quarry Site 2a,-20.9816,118.73626,NA,2013,Chichester,16-443
Dh_16.445,Quarry Site 2b,-20.03331,119.19054,NA,2013,Roebourne,16-445
Dh_16.447,Quarry Site 2a,-20.9692,118.75178,NA,2013,Chichester,16-447
Dh_16.450,Indee Quarry 2,-20.80153,118.64848,NA,2013,Chichester,16-450
Dh_16.453,Indee Quarry 2,-20.80153,118.64848,NA,2013,Chichester,16-453
Dh_16.465,Wodgina,-21.16889,118.64972,NA,2014,Chichester,16-465
Dh_16.467,Abydos Turner Yandee,-21.14889,119.10806,NA,2014,Chichester,16-467
Dh_16.468,Wodgina,-21.19778,118.655,NA,2014,Chichester,16-468
Dh_16.473,Wodgina,-21.17111,118.65083,NA,2014,Chichester,16-473
Dh_16.479,Koodaideri West,-22.5051,118.9388,NA,2013,Hamersley,16-479
Dh_16.480,Koodaideri East,-22.5869,119.0911,NA,2013,Hamersley,16-480
Dh_16.493,Tom Price West,-22.09889,117.8775,NA,2013,Hamersley,16-493
Dh_16.496,Tom Price East,-22.04139,118.74722,NA,2013,Chichester,16-496
Dh_16.497,Tom Price East,-22.04083,118.74889,NA,2013,Chichester,16-497
Dh_16.498,Tom Price East,-22.04056,118.74917,NA,2013,Chichester,16-498
Dh_16.500,Tom Price East,-21.9925,118.82278,NA,2013,Chichester,16-500
Dh_16.554,Red Hill Hammersley North,-21.93667,116.12767,NA,2012,Hamersley,16-554
Dh_16.555,Red Hill Hammersley North,-21.93767,116.13733,NA,2012,Hamersley,16-555
Dh_16.774,Dolphin Island,-20.48320999,116.835066,NA,2015,Roebourne,16-774
Dh_16.881,Karijini NP,-22.47732804,118.562863,M,2016,Hamersley,16-881
Dh_16.882,Karijini NP,-22.47574101,118.562164,F,2016,Hamersley,16-882
Dh_16.883,Karijini NP,-22.48075599,118.564248,F,2016,Hamersley,16-883
Dh_16.883_R,Karijini NP,-22.48075599,118.564248,F,2016,Hamersley,16-883
Dh_16.910,Karlamilyi East,-22.46521,122.26054,M,2016,Rudall,16-910
Dh_17.053,Pannawonica,-21.70945392,116.4783567,M,2015,Chichester,17-053
Dh_17.055,Pannawonica,-21.68847944,116.4912503,M,2015,Chichester,17-055
Dh_17.056,Pannawonica,-21.67344322,116.4036452,F,2015,Hamersley,17-056
Dh_17.100,Karlamilyi West,-22.46655,121.49394,NA,2017,Trainor,17-100
Dh_2012.077,Abydos Turner Yandee,-21.1653444,119.1096944,M,2011,Chichester,2012-077
Dh_2012.088,McPhee Creek Mine,-21.5930556,120.1103056,F,2011,Chichester,2012-088
Dh_2012.400,Nimingarra,-20.3934722,120.0385278,M,2012,McLarty,2012-400
Dh_2012.410,Quarry Site 2a,-20.9574444,118.6961111,M,2012,Chichester,2012-410
Dh_2014.012,Dolphin Island,-20.49007,116.84913,F,2013,Roebourne,2014-012
Dh_2016.150,Red Hill Chichester,-21.14635,116.21632,M,2015,Roebourne,2016-150
Dh_2016.236,Pannawonica Yarraloola,-21.797203,116.159628,F,2014,Hamersley,2016-236
Dh_2016.251,Coolawanyah Station South,-21.69021,117.863437,F,2014,Chichester,2016-251
Dh_2016.355,Quarry Site 1a,-20.5296,118.649695,M,2012,Chichester,2016-355
Dh_2016.479,Koodaideri West,-22.5051,118.9388,NA,2013,Hamersley,2016-479
Dh_2016.910,Karlamilyi East,-22.46521,122.26054,M,2016,Rudall,2016-910
Dh_11.306,Poondano,-20.45723332,118.9309811,F,2011,Chichester,11-306
Dh_11.313,Poondano,-20.48227683,118.8310139,F,2011,Chichester,11-313
Dh_11.314,Poondano,-20.50821965,118.8267037,F,2011,Chichester,11-314
Dh_11.326,Poondano,-20.4551211,118.9242276,M,2011,Chichester,11-326
Dh_11.329,Poondano,-20.45539576,118.8375417,F,2011,Chichester,11-329
Dh_11.330,Poondano,-20.45393632,118.7790742,F,2011,Chichester,11-330
