sampleid	PHt	Hs_obs	Hs_exp	IR	HL
Dh_11.285	0.242415885273028	1.02515992915339	0.926544072372407	0.074107074456533	0.676504069898941
Dh_11.292	0.249034749034749	1.05332192702583	0.95217043708426	0.0374657391229164	0.658255977005511
Dh_11.307	0.254966887417219	1.07843871186612	0.974783720691941	0.0169248036773257	0.653199712540055
Dh_11.309	0.237227285280309	1.00253754055751	0.906383725439569	0.0809528180839479	0.681570081688377
Dh_11.310	0.237161789066814	1.00262228004945	0.906295480894415	0.0756542018189168	0.676611052684529
Dh_11.335	0.251862068965517	1.06546832812838	0.963265157780866	0.0393532332019736	0.66225112188278
Dh_11.337	0.251241036955323	1.06207514801922	0.959608617354863	0.0286899379103624	0.662789854125686
Dh_11.338	0.2348401323043	0.993085578364229	0.8974681261721	0.0926216583267009	0.684224427012872
Dh_11.401	0.24910443648388	1.05307312741866	0.951508983840221	0.0439060273737756	0.656529552779353
Dh_11.402	0.229494614747307	0.971429420105819	0.87789876766318	0.0997649580540174	0.686868924890035
Dh_11.404	0.247587537910119	1.04716646749426	0.946389640697861	0.0447025300480061	0.665789370857434
Dh_11.405	0.240894039735099	1.01821219215803	0.92032436804962	0.0747094965798759	0.676012734748242
Dh_12.066	0.245246624414439	1.03583421216824	0.935789397834857	0.0767997386089219	0.673527587042022
Dh_12.071	0.248551724137931	1.05039806669169	0.949193186366035	0.0526196080191012	0.66524108992147
Dh_12.072	0.247794928335171	1.04737238600437	0.946599332527658	0.0622324746956274	0.668271507337895
Dh_12.073	0.247519294377067	1.04597332143707	0.944937386949384	0.0489322955491262	0.665577589732137
Dh_12.074	0.234775420225958	0.992183086050171	0.89654456930274	0.0924441244018764	0.679634805650772
Dh_12.075	0.241160220994475	1.01939484410613	0.92143181025592	0.061580158277508	0.67034652865214
Dh_12.076	0.25075778451364	1.06041500265796	0.958349182639539	0.0440687987613499	0.6608080766214
Dh_12.078	0.234516928158547	0.99154894153482	0.895775461303603	0.0972849654221579	0.686667425913055
Dh_12.079	0.25523127753304	1.07871324657718	0.974544889432262	0.0281775366182403	0.659548598735307
Dh_12.080	0.24571586511885	1.03766841446911	0.937648026712055	0.0687178900168723	0.668911729763664
Dh_12.082	0.25	1.05661892503226	0.954541471113723	0.0394757989164462	0.666399628464818
Dh_12.084	0.243116740088106	1.02798362972614	0.928847459575891	0.0682996311644607	0.675885706249401
Dh_12.325	0.253924538694574	1.07366565358486	0.970190062544616	0.035809966724481	0.656350879414875
Dh_12.331	0.236704326260678	1.00026590015333	0.903737493186737	0.0755239563746998	0.676076503576781
Dh_12.339	0.25399889685604	1.07347649222858	0.970040812882843	0.0344999839589103	0.657992544887276
Dh_12.385	0.236333517393705	1.00006930081242	0.903814480194718	0.0779932311503251	0.677227142392322
Dh_12.387	0.236298540347012	0.999027524094811	0.902724430193124	0.0889990371827876	0.673244501331042
Dh_12.390	0.237175951461666	1.00278835328042	0.906374984373877	0.0858076426271162	0.680446214589645
Dh_12.391	0.227310344827586	0.961227949230223	0.868788309278937	0.123818461859108	0.69621605794465
Dh_12.393	0.240220385674931	1.01568497932833	0.917715782472371	0.0694367776800092	0.676795294161437
Dh_12.394	0.242282249173098	1.02386153313153	0.925352588229249	0.0604955591922101	0.670296114826059
Dh_12.395	0.230811706239647	0.975855378832997	0.88213410648795	0.120197989215164	0.689575205531831
Dh_12.396	0.244560727072432	1.03400861997886	0.934170705531567	0.054698485937995	0.666489393616871
Dh_12.397	0.248688931824455	1.05071419447691	0.949606687426371	0.0541830726191747	0.66589694149363
Dh_12.399	0.2439293598234	1.03045664128902	0.931289320977651	0.06292260626117	0.666406833351288
Dh_12.400	0.244830438378825	1.0356021859932	0.936011369212874	0.0579538984167349	0.673697355461967
Dh_12.401	0.236348593491451	0.998875848343245	0.902501602200421	0.0807838297810724	0.681443959128248
Dh_12.402	0.233461962513782	0.986344711871368	0.891236977354293	0.103017747899077	0.689798684779581
Dh_12.403	0.223110865968009	0.94234430088837	0.851557942146787	0.137762209156963	0.696686145396023
Dh_12.404	0.250206896551724	1.05819343658237	0.956849695722375	0.0443533631531297	0.666482462085037
Dh_12.406	0.25564738292011	1.08058720936682	0.976456142726887	0.0217078108950054	0.656071879766945
Dh_12.407	0.250207125103563	1.05672269494525	0.95493663290071	0.0413775223228367	0.658772644335346
Dh_12.410	0.263636363636364	1.11419604736805	1.00679091517151	-0.00669739698996329	0.637839265580298
Dh_14.001	0.150927720852949	0.637650508130866	0.576445000093023	0.430410330574926	0.800224160432092
Dh_14.002	0.143687707641196	0.607727881517674	0.549540901325387	0.453602254557988	0.806700764610239
Dh_14.003	0.146098505810736	0.617547944038358	0.558069107939794	0.443754592129141	0.809492496353701
Dh_14.004	0.168601437258154	0.712675965759432	0.644222806245285	0.371440526266508	0.768003637627436
Dh_14.005	0.143402879811931	0.604303020812427	0.546808259396473	0.457915352733615	0.808213751620294
Dh_14.006	0.165652654867257	0.70056331955785	0.633065967329183	0.370126251616536	0.778104963935513
Dh_14.007	0.167313019390582	0.707139697268448	0.639223176871825	0.369269932942513	0.77976771951773
Dh_14.009	0.16537610619469	0.698992339349632	0.631846811102838	0.378786046226197	0.782635793942356
Dh_14.010	0.159701079435372	0.674369638193464	0.609538125250532	0.392477683666294	0.787833139402377
Dh_14.011	0.134738009426116	0.569661929219651	0.51486970515916	0.492991630680792	0.818585229011345
Dh_14.012	0.162558847964553	0.687485859768179	0.621371278511997	0.390054268164499	0.781951206128312
