"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"Soils_Total",-1994.37225007882,4,3996.74450015763,3997.27081594711,0.523864779384383,0.818158819891694,-1994.37225007882
"Distance",-2003.77144781135,2,4011.5428956227,4011.69674177654,0.505290141203278,0.787175323664087,-2003.77144781135
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
