"","Estimate","Std. Error","t value"
"Intercept",46.3886309833539,0.115389797108822,402.016747976476
"EucDistWater_Total.Silt_Total.VRM_Total.WeatheringIndex_Total",0.714186275475064,0.00888234135711435,80.4051822330644
