"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"PersistForestCover_Total",-1997.2322476519,4,4002.46449530379,4002.99081109327,0.529726117177441,0.825818134955468,-1997.2322476519
"Distance",-2004.2872290592,2,4012.57445811841,4012.72830427225,0.505235974369675,0.787163275540074,-2004.2872290592
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
