"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"CoarseFrags_Total",-1980.64520455062,4,3969.29040910365,3969.81672489312,0.512108903562171,0.789646244600732,-1980.64520455182
"Distance",-2003.87305821644,2,4011.74611643289,4011.89996258673,0.505272527560924,0.787163405427753,-2003.87305821644
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
