"ind1.id","ind2.id","wang","Ind.1.sex","Ind.1.pop","Ind.1.year","Ind.2.sex","Ind.2.pop","Ind.2.year"
"Dh_14.005","Dh_14.013",-0.2648,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.005","Dh_16.093",-0.2304,"M","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.005","Dh_16.311",-0.272,"M","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.005","Dh_16.774",-0.2392,"M","Dolphin Island",2012,NA,"Dolphin Island",2015
"Dh_14.006","Dh_14.007",-0.0265,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.006","Dh_14.008",-0.0618,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.006","Dh_14.009",-0.1083,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.006","Dh_14.010",-0.0772,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.006","Dh_14.011",0.1385,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.006","Dh_14.012",0.0041,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.006","Dh_14.013",0.0613,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.006","Dh_16.093",0.064,"F","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.006","Dh_16.311",-0.0728,"F","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.006","Dh_16.774",0.1259,"F","Dolphin Island",2012,NA,"Dolphin Island",2015
"Dh_14.007","Dh_14.008",0.3754,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.007","Dh_14.009",-0.0405,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.007","Dh_14.010",-0.0976,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.007","Dh_14.011",-0.0455,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.007","Dh_14.012",0.0166,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.007","Dh_14.013",0.0263,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.007","Dh_16.093",-0.0875,"M","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.007","Dh_16.311",-0.0642,"M","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.007","Dh_16.774",-0.0956,"M","Dolphin Island",2013,NA,"Dolphin Island",2015
"Dh_14.008","Dh_14.009",-0.1644,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.008","Dh_14.010",-0.1106,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.008","Dh_14.011",-0.111,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.008","Dh_14.012",-0.0387,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.008","Dh_14.013",-0.0616,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.008","Dh_16.093",-0.0296,"M","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.008","Dh_16.311",-0.1589,"M","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.008","Dh_16.774",-0.1123,"M","Dolphin Island",2013,NA,"Dolphin Island",2015
"Dh_14.009","Dh_14.010",-0.0799,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.009","Dh_14.011",-0.0691,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.009","Dh_14.012",-0.1472,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.009","Dh_14.013",-0.0955,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.009","Dh_16.093",-0.0803,"M","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.009","Dh_16.311",-0.1062,"M","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.009","Dh_16.774",-0.1244,"M","Dolphin Island",2013,NA,"Dolphin Island",2015
"Dh_14.010","Dh_14.011",-0.1239,"F","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.010","Dh_14.012",-0.1486,"F","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.010","Dh_14.013",-0.0912,"F","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.010","Dh_16.093",0.0385,"F","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.010","Dh_16.311",-0.034,"F","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.010","Dh_16.774",0.03,"F","Dolphin Island",2013,NA,"Dolphin Island",2015
"Dh_14.011","Dh_14.012",-0.1644,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.011","Dh_14.013",0.013,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.011","Dh_16.093",-0.0962,"M","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.011","Dh_16.311",-0.0893,"M","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.011","Dh_16.774",0.0511,"M","Dolphin Island",2013,NA,"Dolphin Island",2015
"Dh_14.012","Dh_14.013",-0.1086,"F","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.012","Dh_16.093",-0.0795,"F","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.012","Dh_16.311",-0.168,"F","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.012","Dh_16.774",-0.1194,"F","Dolphin Island",2013,NA,"Dolphin Island",2015
"Dh_14.013","Dh_16.093",-0.1486,"F","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.013","Dh_16.311",-0.058,"F","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.013","Dh_16.774",-0.0274,"F","Dolphin Island",2013,NA,"Dolphin Island",2015
"Dh_16.093","Dh_16.311",-0.0298,"M","Dolphin Island",2015,"M","Dolphin Island",2014
"Dh_16.093","Dh_16.774",0.2679,"M","Dolphin Island",2015,NA,"Dolphin Island",2015
"Dh_16.311","Dh_16.774",-0.0731,"M","Dolphin Island",2014,NA,"Dolphin Island",2015
