"id","pop","lat","lon","Sex","Year","IBRA_SubRegion","Original_id","UTMX","UTMY","CoordLocation","Buffer_1km","Buffer_2km","Buffer_5km","Buffer_10km","Buffer_15km","Buffer_20km"
"Dh_16.453","Indee Quarry 2",-20.80153,118.64848,NA,2013,"Chichester","16-453",671567.844380993,7698940.64735309,98,62,40,35,24,15,9
"Dh_16.465","Wodgina",-21.16889,118.64972,NA,2014,"Chichester","16-465",671277.444905091,7658270.04070683,99,47,29,25,21,15,9
"Dh_16.467","Abydos Turner Yandee",-21.14889,119.10806,NA,2014,"Chichester","16-467",718906.951062745,7659920.75786508,100,45,28,24,16,12,9
"Dh_16.468","Wodgina",-21.19778,118.655,NA,2014,"Chichester","16-468",671792.345511693,7655065.93195934,101,49,29,25,21,15,9
"Dh_16.473","Wodgina",-21.17111,118.65083,NA,2014,"Chichester","16-473",671390.153146454,7658023.06714548,102,47,29,25,21,15,9
"Dh_16.479","Koodaideri West",-22.5051,118.9388,NA,2013,"Hamersley","16-479",699435.233683454,7509971.92244463,103,3,3,3,3,1,1
"Dh_16.480","Koodaideri East",-22.5869,119.0911,NA,2013,"Hamersley","16-480",714979.563899635,7500701.87637014,104,1,1,1,3,1,1
"Dh_16.493","Tom Price West",-22.09889,117.8775,NA,2013,"Hamersley","16-493",590515.913185794,7555966.46296882,105,8,8,11,7,7,6
"Dh_16.496","Tom Price East",-22.04139,118.74722,NA,2013,"Chichester","16-496",680317.356654665,7561559.74617951,106,10,10,13,9,8,7
"Dh_16.497","Tom Price East",-22.04083,118.74889,NA,2013,"Chichester","16-497",680490.453900151,7561619.77717862,107,10,10,13,9,8,7
"Dh_16.498","Tom Price East",-22.04056,118.74917,NA,2013,"Chichester","16-498",680519.699796781,7561649.34140995,108,10,10,13,9,8,7
"Dh_16.554","Red Hill Hammersley North",-21.93667,116.12767,NA,2012,"Hamersley","16-554",409914.909979962,7573926.55235933,109,16,13,10,10,9,5
"Dh_16.555","Red Hill Hammersley North",-21.93767,116.13733,NA,2012,"Hamersley","16-555",410913.171148329,7573821.50149588,110,16,13,10,10,9,5
"Dh_16.881","Karijini NP",-22.47732804,118.562863,"M",2016,"Hamersley","16-881",660788.808298696,7513499.43714397,111,4,4,4,2,3,1
"Dh_16.882","Karijini NP",-22.47574101,118.562164,"F",2016,"Hamersley","16-882",660718.713890285,7513675.90604787,112,4,4,4,2,3,1
"Dh_16.883","Karijini NP",-22.48075599,118.564248,"F",2016,"Hamersley","16-883",660927.360682032,7513118.40076268,113,4,4,4,2,3,1
"Dh_16.910","Karlamilyi East",-22.46521,122.26054,"M",2016,"Rudall","16-910",1041751.04719656,7506157.57520727,114,2,2,2,1,2,2
"Dh_17.053","Pannawonica",-21.70945392,116.4783567,"M",2015,"Chichester","17-053",446046.001924119,7599241.00037345,115,26,18,15,12,9,5
"Dh_17.055","Pannawonica",-21.68847944,116.4912503,"M",2015,"Chichester","17-055",447372.001783859,7601566.99940067,116,29,18,15,12,9,5
"Dh_17.056","Pannawonica",-21.67344322,116.4036452,"F",2015,"Hamersley","17-056",438303.004040878,7603198.99985657,117,28,20,15,12,9,5
"Dh_2012.077","Abydos Turner Yandee",-21.1653444,119.1096944,"M",2011,"Chichester","2012-077",719052.503843314,7658096.49559519,14,45,28,24,16,12,9
"Dh_2012.088","McPhee Creek Mine",-21.5930556,120.1103056,"F",2011,"Chichester","2012-088",822072.395904721,7608995.67638666,118,30,21,17,17,11,8
"Dh_11.306","Poondano",-20.45723332,118.9309811,"F",2011,"Chichester","11-306",701430.10364985,7736733.28994432,119,78,49,38,28,20,9
"Dh_11.313","Poondano",-20.48227683,118.8310139,"F",2011,"Chichester","11-313",690968.2636055,7734080.47959279,120,68,46,38,28,20,9
"Dh_11.314","Poondano",-20.50821965,118.8267037,"F",2011,"Chichester","11-314",690486.537206137,7731213.39986155,121,68,46,38,28,20,9
"Dh_11.326","Poondano",-20.4551211,118.9242276,"M",2011,"Chichester","11-326",700728.156881951,7736975.43000391,122,78,49,38,28,20,9
"Dh_11.329","Poondano",-20.45539576,118.8375417,"F",2011,"Chichester","11-329",691682.655104423,7737048.83017645,123,79,46,38,28,20,9
"Dh_11.330","Poondano",-20.45393632,118.7790742,"F",2011,"Chichester","11-330",685583.871572556,7737277.71016967,124,80,46,38,28,20,9
"Dh_11.333","Poondano",-20.45497358,118.841708,"F",2011,"Chichester","11-333",692117.900549632,7737090.68976576,125,79,46,38,28,20,9
"Dh_11.397","Abydos Turner Yandee",-21.1942,119.0259,"M",2011,"Chichester","11-397",710308.425391441,7655014.87272689,126,48,28,24,16,12,9
"Dh_11.400","Abydos Turner Yandee",-21.1656,119.054,"M",2011,"Chichester","11-400",713267.441053694,7658144.11789996,127,46,28,24,16,12,9
"Dh_11.409","Abydos Turner Yandee",-21.2499,119.0518,"M",2011,"Chichester","11-409",712917.966514436,7648812.68658672,128,38,28,24,16,12,9
"Dh_11.411","Abydos Turner Yandee",-21.2285,119.0376,"M",2011,"Chichester","11-411",711474.491622966,7651201.33594522,129,40,28,24,16,12,9
"Dh_11.412","Abydos Turner Yandee",-21.2729,119.054,"M",2011,"Chichester","11-412",713113.21433628,7646262.95399419,130,38,28,24,16,12,9
"Dh_11.413","Abydos Turner Yandee",-21.2873,119.0561,"F",2011,"Chichester","11-413",713310.393938394,7644665.61507826,131,38,28,24,16,12,9
"Dh_12.087","Abydos Turner Yandee",-21.1277083,119.1379972,"F",2011,"Chichester","12-087",722048.359559008,7662224.65516546,132,52,28,24,16,12,9
"Dh_12.260","Quarry Site 1a",-20.5208333,118.6891667,"F",2011,"Chichester","12-260",676126.622129543,7729971.28091766,133,71,55,37,28,20,9
"Dh_12.277","Cattle Nimingarra Shay",-20.5327778,120.1594444,"M",2011,"Chichester","12-277",829495.015304217,7726371.08905534,134,67,45,36,27,18,13
"Dh_12.279","Cattle Nimingarra Shay",-20.5497222,120.2408333,"M",2011,"Chichester","12-279",837952.461030551,7724327.03923845,135,66,44,36,27,18,13
"Dh_12.284","Cattle Nimingarra Shay",-20.5486111,120.2402778,"M",2011,"Chichester","12-284",837896.933411168,7724451.30278786,136,66,44,36,27,18,13
"Dh_12.285","Callawa",-20.6822222,120.3105556,"M",2011,"Chichester","12-285",844930.107528446,7709498.81605827,137,65,43,33,27,18,13
"Dh_12.292","Callawa",-20.6816667,120.3116667,"M",2011,"Chichester","12-292",845047.229561793,7709558.00262456,138,65,43,33,27,18,13
"Dh_12.296","Quarry Site 2c",-21.4877778,119.1338889,"M",2011,"Chichester","12-296",721081.678486543,7622358.58073023,139,33,23,19,19,12,9
"Dh_12.297","Quarry Site 2c",-21.4877778,119.1336111,"M",2011,"Chichester","12-297",721052.887199049,7622358.97367006,140,33,23,19,19,12,9
