"id","pop","lat","lon","Sex","Year","IBRA_SubRegion","Original_id","UTMX","UTMY","CoordLocation","Buffer_1km","Buffer_2km","Buffer_5km","Buffer_10km","Buffer_15km","Buffer_20km"
"Dh_16.859","Abydos Turner Yandee",-21.2504563,119.0518658,"F",2015,"Chichester","16-859",712923.996959969,7648750.99951697,180,38,28,24,16,12,9
"Dh_16.860","Abydos Turner Yandee",-21.25822331,119.0555477,"M",2015,"Chichester","16-860",713295.002763793,7647885.99927237,181,38,28,24,16,12,9
"Dh_16.861","Abydos Turner Yandee",-21.25799218,119.0552458,"F",2015,"Chichester","16-861",713263.998971758,7647911.99982481,182,38,28,24,16,12,9
"Dh_16.863","Abydos Turner Yandee",-21.24463569,119.0824378,"F",2015,"Chichester","16-863",716106.004078965,7649354.00032639,183,39,28,24,16,12,9
"Dh_16.866","Abydos Turner Yandee",-21.18800902,119.1037714,"M",2015,"Chichester","16-866",718404.000805516,7655595.00036942,184,43,28,24,16,12,9
"Dh_16.898","Yarrie Station",-20.88540397,120.11976,"F",2016,"Chichester","16-898",824600.23523575,7687382.28446916,185,60,37,30,25,18,13
"Dh_16.905","Red Hill Hammersley Mid",-22.18097697,116.273209,"F",2016,"Hamersley","16-905",425074.13279991,7546961.79205549,186,6,6,6,6,6,5
"Dh_16.906","Red Hill Hammersley Mid",-22.18259803,116.275602,"M",2016,"Hamersley","16-906",425321.696478761,7546783.52871952,187,6,6,6,6,6,5
"Dh_16.908","Red Hill Hammersley Mid",-22.18082098,116.268086,"M",2016,"Hamersley","16-908",424545.89191231,7546976.52097249,188,6,6,6,6,6,5
"Dh_17.052","Pannawonica Yarraloola",-21.73446816,116.1772623,"F",2016,"Hamersley","17-052",414916.995980998,7596336.99981676,189,23,17,9,10,9,5
"Dh_17.057","Pannawonica Yarraloola",-21.72046906,116.1744125,"F",2016,"Hamersley","17-057",414614.00420353,7597885.00030901,190,23,17,9,10,9,5
"Dh_17.078","Abydos Turner Yandee",-21.18864538,119.10515,"F",2017,"Chichester","17-078",718546.232516959,7655522.63427863,191,43,28,24,16,12,9
"Dh_17.079","Abydos Turner Yandee",-21.28712192,119.0574259,"M",2017,"Chichester","17-079",713448.250632328,7644683.53974903,192,38,28,24,16,12,9
"Dh_17.088_MT","Abydos Turner Yandee",-21.27231872,119.0538477,"F",2017,"Chichester","17-088_MT",713098.244838994,7646327.52425762,193,38,28,24,16,12,9
"Dh_17.093","Abydos Turner Yandee",-21.25498924,119.0537614,"M",2017,"Chichester","17-093",713114.243184579,7648246.51602777,194,38,28,24,16,12,9
