"","Estimate","Std. Error","t value"
"Intercept",46.3886309833655,0.124152974116966,373.64091608198
"EucDistWater_Total.FireFreq_2000_2008_Total.PersistForestCover_Total.Spinifex_Total",0.735664060282249,0.00919311650910967,80.0233587329458
