"","Estimate","Std. Error","t value"
"Intercept",46.3886309833678,0.120419048237826,385.226686825749
"FireFreq_2000_2008_Total.PersistForestCover_Total.Silt_Total",0.750874436508357,0.00944251181543467,79.5206245102053
