"","Estimate","Std. Error","t value"
"Intercept",46.3886309833508,0.117555080619628,394.611876737597
"EucDistWater_Total.FireFreq_2000_2008_Total.Silt_Total.Spinifex_Total",0.722319310360868,0.0088963764646996,81.1925297031883
