"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"EucDistWater_Total",-1954.52719651233,4,3917.05439302466,3917.58070881414,0.539389935772561,0.843010746523046,-1954.52719651233
"Distance",-2003.87305821644,2,4011.74611643289,4011.89996258673,0.505272527560924,0.787163405427753,-2003.87305821644
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
