"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"FireFreq_2000_2008_Total",-1993.60074300054,4,3995.20148600108,3995.72780179055,0.536385012398884,0.82695055527322,-1993.60074300054
"Distance",-2004.01961372918,2,4012.03922745836,4012.1930736122,0.505290719828216,0.787198825767297,-2004.01961372918
"Null",-3701.47077351072,1,7404.94154702143,7404.99217993283,0,0.310622838962634,-3701.47077351072
