"","Estimate","Std. Error","t value"
"Intercept",46.3886309833943,0.125075186309403,370.88596349272
"FireFreq_2000_2008_Total.PersistForestCover_Total.WeatheringIndex_Total",0.803483054396156,0.0101421906182289,79.221845126045
